year,n,mean,ci_lo,ci_hi,metric,variant
1968,103,0.29466186474589834,0.18640640798191038,0.41349893446433383,devotion_share,weighted_all
1969,80,0.189798386297405,0.0957453570638661,0.30846217080873356,devotion_share,weighted_all
1970,95,0.16351652774749695,0.0811231025781263,0.26252538542040577,devotion_share,weighted_all
1971,91,0.10904297811151942,0.04544601037453662,0.18500915235923068,devotion_share,weighted_all
1972,84,0.23928591436201005,0.12666942051059482,0.3568879069941845,devotion_share,weighted_all
1973,76,0.2815031180560533,0.15681749948067933,0.4094097533618182,devotion_share,weighted_all
1974,72,0.05634188034188034,0.007704786592788635,0.12928298081157016,devotion_share,weighted_all
1975,91,0.13958227864532627,0.06272854868237024,0.2258003075730767,devotion_share,weighted_all
1976,78,0.14489444926411274,0.0648093494115845,0.24338327485976796,devotion_share,weighted_all
1977,93,0.1460535817874013,0.05544695474012426,0.2455832618814257,devotion_share,weighted_all
1978,88,0.23950572851058724,0.13974583390533538,0.34551132033513327,devotion_share,weighted_all
1979,94,0.22962892460709314,0.12999665309408434,0.33396722033978554,devotion_share,weighted_all
1980,80,0.3737713252739803,0.24018169087021518,0.49981510045565375,devotion_share,weighted_all
1981,104,0.2473923397705883,0.146656660077094,0.35601049971229304,devotion_share,weighted_all
1982,93,0.1480343458142557,0.06306558824966961,0.24152439461520342,devotion_share,weighted_all
1983,91,0.24204998189061935,0.13930131724500391,0.3550514095608214,devotion_share,weighted_all
1984,98,0.08263709721688532,0.02626068114899945,0.154488224113425,devotion_share,weighted_all
1985,83,0.13778995816996892,0.05717580923199087,0.23122425750639397,devotion_share,weighted_all
1986,86,0.16780420374461572,0.08707137518829533,0.26404639548091274,devotion_share,weighted_all
1987,96,0.24929779118441042,0.14569537249289188,0.3483361020910867,devotion_share,weighted_all
1988,92,0.2285906237534379,0.1332948302564716,0.3351603722974071,devotion_share,weighted_all
1989,93,0.2825260738907548,0.1869644150214787,0.38703944810876284,devotion_share,weighted_all
1990,90,0.24331881678208514,0.13858946896934712,0.3536431176389018,devotion_share,weighted_all
